name,product_category,collection_family,sex,color,size,price,quantity_remaining,sell_through
Patch Heritage Sweatshirt,Sweatshirt,Patch,Men,Grey Melange,L,119.99,11,0.906
Circular Half-Zip Pants,Pants,Circular,Women,Burgundy,M,95.99,11,0.841
Iconic Quilted Shirt,Shirt,Iconic,Men,White Whisper,M,87.99,11,0.924
Iconic Graphic Pants,Pants,Iconic,Men,Burgundy,XS,135.99,11,0.951
Circular Stripe T-Shirt,T-Shirt,Circular,Women,Burgundy,XS,90.99,11,0.853
Rainforest Quilted Shirt,Shirt,Rainforest,Women,Forest Green,M,114.99,12,0.894
Rainforest Logo Sweatshirt,Sweatshirt,Rainforest,Men,White Whisper,XXL,156.99,12,0.963
Iconic Stretch Sweatshirt,Sweatshirt,Iconic,Women,Caviar,M,102.99,12,0.969
Trail Graphic Shoes,Shoes,Trail,Men,Orange Tangerine,43,95.99,12,0.721
Box Logo Logo Shirt,Shirt,Box Logo,Men,Black Beauty,L,95.99,13,0.827
Morgex Polo,Polo,Morgex,Women,Free Blue,XL,85.99,13,0.918
Tribe Stretch Shirt,Shirt,Tribe,Women,Green Lichen,XL,134.99,13,0.814
Rainforest Half-Zip Shirt,Shirt,Rainforest,Women,Free Blue,M,94.99,13,0.95
Patch Half-Zip Polo,Polo,Patch,Women,Blue Marine,L,99.99,13,0.803
Box Logo Quilted Shorts,Shorts,Box Logo,Men,Blue Marine,M,86.99,13,0.93
Box Logo Heritage Shirt,Shirt,Box Logo,Women,Green Lichen,XL,85.99,13,0.945
Circular Logo T-Shirt,T-Shirt,Circular,Women,Old Rose,XS,39.99,14,0.923
Patch Quilted Sweatshirt,Sweatshirt,Patch,Women,Beige Sand,XL,155.99,14,0.829
Geographic Stripe T-Shirt,T-Shirt,Geographic,Women,Bright White,XXL,76.99,14,0.763
Tribe Heritage Pants,Pants,Tribe,Women,White Whisper,M,110.99,14,0.961
Circular Stretch Pants,Pants,Circular,Men,Bright White,XXL,144.99,14,0.927
Circular Stripe Polo,Polo,Circular,Men,Yellow Sunshine,L,103.99,14,0.778
Morgex Stretch T-Shirt,T-Shirt,Morgex,Men,Olive,M,82.99,14,0.909
Cresta Shoes,Shoes,Cresta,Women,Pale Mint,41,100.99,14,0.785
Morgex Graphic T-Shirt,T-Shirt,Morgex,Women,Petit Four,XL,88.99,14,0.689
Circular Logo Shirt,Shirt,Circular,Men,Caviar,S,98.99,14,0.736
Box Logo Scarf,Accessories,Box Logo,Women,Pale Mint,One Size,79.99,14,0.875
Trail Stripe Shoes,Shoes,Trail,Women,Caviar,37,155.99,15,0.932
Trail Shoes,Shoes,Trail,Women,Petit Four,36,182.99,15,0.921
Box Logo Stripe Swimwear,Swimwear,Box Logo,Men,Green Lichen,XXL,76.99,15,0.8
Rainforest Stretch Shorts,Shorts,Rainforest,Men,Snow White,XL,88.99,15,0.681
Rainforest Socks,Accessories,Rainforest,Women,Forest Green,M,101.99,15,0.915
Box Logo Half-Zip T-Shirt,T-Shirt,Box Logo,Women,Caviar,XL,37.99,15,0.831
Tribe Stripe T-Shirt,T-Shirt,Tribe,Men,Pale Mint,S,68.99,15,0.867
Rainforest Half-Zip Polo,Polo,Rainforest,Men,Olive,XL,91.99,15,0.961
Circular Gloves,Accessories,Circular,Men,Grey Melange,L,43.99,16,0.75
Iconic Stripe Sweatshirt,Sweatshirt,Iconic,Men,Bright White,M,151.99,16,0.862
Rainforest Logo Pants,Pants,Rainforest,Women,Snow White,S,107.99,16,0.853
Geographic Stretch Polo,Polo,Geographic,Women,Snow White,L,68.99,16,0.946
Patch Print Shirt,Shirt,Patch,Women,Pale Mint,XS,98.99,16,0.885
Morgex Stretch T-Shirt,T-Shirt,Morgex,Men,Black Beauty,XS,38.99,16,0.925
Morgex Stretch Sweatshirt,Sweatshirt,Morgex,Women,Snow White,L,149.99,16,0.719
Circular Stripe Shirt,Shirt,Circular,Women,Black Beauty,XS,101.99,16,0.861
Circular Polo,Polo,Circular,Women,Forest Green,S,66.99,16,0.828
Rainforest Scarf,Accessories,Rainforest,Women,Old Rose,One Size,73.99,16,0.805
Box Logo Quilted Pants,Pants,Box Logo,Men,Snow White,XXL,156.99,16,0.807
Tribe Stripe T-Shirt,T-Shirt,Tribe,Men,Orange Tangerine,L,84.99,16,0.89
Geographic Half-Zip T-Shirt,T-Shirt,Geographic,Women,Green Lichen,XXL,51.99,16,0.946
Circular Polo,Polo,Circular,Women,Olive,L,68.99,16,0.899
Iconic Stretch Sweatshirt,Sweatshirt,Iconic,Men,Beige Sand,XL,109.99,16,0.864
Tribe Stripe Sweatshirt,Sweatshirt,Tribe,Men,Caviar,S,161.99,17,0.673
Iconic Pants,Pants,Iconic,Men,Bright Red,XS,145.99,17,0.952
Morgex Half-Zip Polo,Polo,Morgex,Men,Yellow Sunshine,M,75.99,17,0.942
Box Logo Stretch Pants,Pants,Box Logo,Men,Grey Melange,M,132.99,17,0.63
Rainforest Polo,Polo,Rainforest,Men,Stone Grey,L,102.99,17,0.638
Morgex Graphic Sweatshirt,Sweatshirt,Morgex,Women,Caviar,S,111.99,17,0.817
Circular Quilted Shirt,Shirt,Circular,Men,Snow White,S,106.99,17,0.857
Box Logo Quilted T-Shirt,T-Shirt,Box Logo,Women,Caviar,S,87.99,17,0.575
Box Logo Stretch Shorts,Shorts,Box Logo,Women,Burgundy,XL,72.99,17,0.595
Tribe Print Sweatshirt,Sweatshirt,Tribe,Women,White Whisper,XS,139.99,17,0.8
Tribe Stripe Shirt,Shirt,Tribe,Women,Burgundy,M,105.99,17,0.605
Circular Quilted Polo,Polo,Circular,Women,Pale Mint,XXL,65.99,17,0.969
Iconic T-Shirt,T-Shirt,Iconic,Men,Snow White,S,69.99,17,0.707
Tribe Quilted Sweatshirt,Sweatshirt,Tribe,Women,Beige Sand,XL,112.99,17,0.707
Box Logo Graphic Shirt,Shirt,Box Logo,Men,Caviar,L,131.99,17,0.696
Slate Half-Zip Shoes,Shoes,Slate,Women,Orange Tangerine,41,109.99,18,0.822
Rainforest Stretch T-Shirt,T-Shirt,Rainforest,Men,Forest Green,M,73.99,18,0.93
Patch Graphic T-Shirt,T-Shirt,Patch,Women,Black Beauty,S,80.99,18,0.94
Circular Heritage Shorts,Shorts,Circular,Men,Bright Red,S,81.99,18,0.865
Tribe Stripe Polo,Polo,Tribe,Women,White Whisper,L,105.99,18,0.897
Slate Print Shoes,Shoes,Slate,Men,Snow White,44,127.99,18,0.843
Circular Shorts,Shorts,Circular,Women,Burgundy,L,73.99,18,0.769
Rainforest Belt,Accessories,Rainforest,Men,Green Lichen,One Size,92.99,19,0.821
Box Logo Logo T-Shirt,T-Shirt,Box Logo,Women,Caviar,S,63.99,19,0.822
Rainforest Quilted Shorts,Shorts,Rainforest,Women,Stone Grey,S,68.99,19,0.759
Circular Pants,Pants,Circular,Women,Pale Mint,XXL,135.99,19,0.678
Box Logo Heritage Shoes,Shoes,Box Logo,Women,Forest Green,37,201.99,19,0.829
Geographic Stretch Shirt,Shirt,Geographic,Men,Old Rose,XL,135.99,19,0.963
Circular Stretch Polo,Polo,Circular,Women,Yellow Sunshine,L,80.99,19,0.881
Iconic Graphic T-Shirt,T-Shirt,Iconic,Men,Olive,M,70.99,19,0.765
Trail Heritage Shoes,Shoes,Trail,Women,Blue Marine,38,189.99,19,0.961
Patch Heritage Sweatshirt,Sweatshirt,Patch,Men,Free Blue,S,156.99,19,0.596
Circular Graphic Shorts,Shorts,Circular,Women,Yellow Sunshine,XL,76.99,20,0.802
Rainforest T-Shirt,T-Shirt,Rainforest,Women,Bright White,XS,91.99,20,0.661
Morgex Half-Zip Polo,Polo,Morgex,Men,Pale Mint,XS,100.99,20,0.636
Box Logo Shirt,Shirt,Box Logo,Men,Burgundy,M,140.99,20,0.934
Rainforest Beanie,Accessories,Rainforest,Men,Caviar,One Size,44.99,20,0.74
Patch Stretch Shirt,Shirt,Patch,Men,Blue Marine,XS,107.99,20,0.815
Patch Graphic Pants,Pants,Patch,Men,Stone Grey,XL,120.99,20,0.955
Circular Logo T-Shirt,T-Shirt,Circular,Men,Caviar,M,65.99,20,0.643
Morgex Tote Bag,Accessories,Morgex,Men,Grey Melange,One Size,118.99,20,0.875
Circular Stretch T-Shirt,T-Shirt,Circular,Men,Beige Sand,S,79.99,20,0.867
Sun-Lover Swimwear,Swimwear,Sun-Lover,Men,Forest Green,S,46.99,20,0.8
Geographic Stripe T-Shirt,T-Shirt,Geographic,Women,Burgundy,L,69.99,20,0.592
Tribe Heritage T-Shirt,T-Shirt,Tribe,Men,Forest Green,S,85.99,21,0.788
Patch Print Pants,Pants,Patch,Women,Orange Tangerine,L,127.99,21,0.814
Box Logo Heritage T-Shirt,T-Shirt,Box Logo,Men,White Whisper,M,89.99,21,0.959
Geographic Half-Zip Shirt,Shirt,Geographic,Men,Green Lichen,M,113.99,21,0.744
Circular Sweatshirt,Sweatshirt,Circular,Men,Bright White,M,138.99,21,0.934
Geographic Scarf,Accessories,Geographic,Women,Orange Tangerine,One Size,97.99,21,0.894
Iconic Belt,Accessories,Iconic,Men,Khaki,One Size,21.99,21,0.9
Patch Print Polo,Polo,Patch,Men,Black Beauty,XXL,85.99,21,0.72
Geographic Stripe Shirt,Shirt,Geographic,Women,White Whisper,XXL,113.99,21,0.842
Geographic Stretch T-Shirt,T-Shirt,Geographic,Men,Navy,S,59.99,22,0.56
Box Logo Pants,Pants,Box Logo,Women,Yellow Sunshine,XS,102.99,22,0.798
Morgex Half-Zip T-Shirt,T-Shirt,Morgex,Women,Grey Melange,XL,76.99,22,0.851
Morgex Quilted Sweatshirt,Sweatshirt,Morgex,Men,Bright Red,L,111.99,22,0.863
Box Logo Logo Swimwear,Swimwear,Box Logo,Men,Caviar,M,44.99,22,0.912
Iconic Logo Sweatshirt,Sweatshirt,Iconic,Men,Khaki,M,159.99,22,0.939
Morgex Stretch Shorts,Shorts,Morgex,Women,Caviar,XL,59.99,22,0.938
Iconic Graphic Shorts,Shorts,Iconic,Men,Olive,XL,76.99,22,0.958
Iconic Stretch T-Shirt,T-Shirt,Iconic,Women,Bright Red,M,68.99,22,0.9
Box Logo Stripe T-Shirt,T-Shirt,Box Logo,Men,Stone Grey,XXL,85.99,23,0.942
Tribe Stretch Sweatshirt,Sweatshirt,Tribe,Women,Yellow Sunshine,L,156.99,23,0.589
Iconic Graphic Sweatshirt,Sweatshirt,Iconic,Women,Black Beauty,M,116.99,23,0.921
Tribe Stripe T-Shirt,T-Shirt,Tribe,Men,Olive,XS,71.99,23,0.851
Rainforest Half-Zip Shorts,Shorts,Rainforest,Women,Pale Mint,L,54.99,23,0.923
Iconic Stretch Polo,Polo,Iconic,Women,Yellow Sunshine,XS,75.99,23,0.847
Box Logo Logo Shoes,Shoes,Box Logo,Men,White Whisper,44,159.99,23,0.923
Trail Stretch Shoes,Shoes,Trail,Men,Orange Tangerine,40,110.99,23,0.836
Box Logo Stripe Polo,Polo,Box Logo,Women,Navy,S,66.99,23,0.832
Tribe Graphic Shirt,Shirt,Tribe,Women,Bright White,M,105.99,23,0.957
Trail Shoes,Shoes,Trail,Men,Grey Melange,44,133.99,23,0.729
Rainforest Stripe Pants,Pants,Rainforest,Men,Pale Mint,XL,159.99,23,0.558
Morgex Logo Polo,Polo,Morgex,Women,Grey Melange,S,75.99,23,0.629
Box Logo Shirt,Shirt,Box Logo,Women,Bright White,XXL,105.99,24,0.877
Patch Heritage Polo,Polo,Patch,Men,Petit Four,L,71.99,24,0.923
Box Logo Stretch Shoes,Shoes,Box Logo,Men,Burgundy,43,91.99,24,0.888
Trail Graphic Shoes,Shoes,Trail,Men,Black Beauty,40,160.99,24,0.898
Box Logo Stripe Swimwear,Swimwear,Box Logo,Men,Old Rose,L,54.99,24,0.921
Iconic Heritage T-Shirt,T-Shirt,Iconic,Men,Yellow Sunshine,S,72.99,24,0.68
Circular Quilted Shirt,Shirt,Circular,Women,Olive,M,146.99,24,0.642
Box Logo Heritage Shirt,Shirt,Box Logo,Women,Pale Mint,S,131.99,24,0.959
Tribe Stripe Pants,Pants,Tribe,Women,Forest Green,M,106.99,24,0.855
Circular Stripe Shorts,Shorts,Circular,Women,Beige Sand,L,67.99,24,0.958
Iconic Pants,Pants,Iconic,Men,Snow White,L,142.99,25,0.9
Box Logo Stretch Shoes,Shoes,Box Logo,Women,Petit Four,40,89.99,25,0.951
Tribe Heritage T-Shirt,T-Shirt,Tribe,Men,Beige Sand,L,72.99,25,0.802
Rainforest Quilted Pants,Pants,Rainforest,Men,Stone Grey,XL,131.99,25,0.713
Patch Heritage T-Shirt,T-Shirt,Patch,Men,Yellow Sunshine,XL,50.99,25,0.643
Iconic T-Shirt,T-Shirt,Iconic,Women,Navy,M,83.99,25,0.84
Box Logo Shoes,Shoes,Box Logo,Men,Yellow Sunshine,43,103.99,25,0.951
Patch T-Shirt,T-Shirt,Patch,Women,Free Blue,XL,51.99,25,0.917
Iconic Heritage Polo,Polo,Iconic,Women,Stone Grey,XL,71.99,25,0.554
Tribe Stripe Pants,Pants,Tribe,Men,Green Lichen,S,149.99,25,0.597
Circular Print Shirt,Shirt,Circular,Men,Navy,XXL,102.99,26,0.881
Box Logo Graphic Sweatshirt,Sweatshirt,Box Logo,Men,Bright White,L,99.99,26,0.623
Tribe Half-Zip T-Shirt,T-Shirt,Tribe,Men,Orange Tangerine,L,74.99,26,0.768
Circular Logo Shirt,Shirt,Circular,Men,Caviar,XS,133.99,26,0.941
Trail Quilted Shoes,Shoes,Trail,Men,Beige Sand,42,165.99,26,0.955
Sun-Lover Stretch Swimwear,Swimwear,Sun-Lover,Men,Orange Tangerine,XL,50.99,26,0.956
Patch Stripe Shorts,Shorts,Patch,Women,Navy,L,57.99,27,0.671
Tribe Logo Shorts,Shorts,Tribe,Men,Orange Tangerine,M,50.99,27,0.92
Box Logo Gloves,Accessories,Box Logo,Men,Blue Marine,S,90.99,27,0.923
Rainforest Logo Shirt,Shirt,Rainforest,Men,Grey Melange,M,112.99,27,0.95
Box Logo Half-Zip Polo,Polo,Box Logo,Men,Khaki,XXL,106.99,27,0.881
Box Logo Polo,Polo,Box Logo,Men,Forest Green,XS,71.99,28,0.932
Iconic Half-Zip Shirt,Shirt,Iconic,Men,Green Lichen,M,86.99,28,0.789
Rainforest Half-Zip T-Shirt,T-Shirt,Rainforest,Men,Orange Tangerine,L,74.99,28,0.636
Patch Heritage T-Shirt,T-Shirt,Patch,Men,Caviar,M,76.99,28,0.831
Rainforest Stripe Polo,Polo,Rainforest,Women,Petit Four,L,97.99,28,0.685
Tribe Logo Polo,Polo,Tribe,Men,Caviar,XXL,100.99,28,0.736
Patch Half-Zip Sweatshirt,Sweatshirt,Patch,Men,Grey Melange,S,104.99,28,0.823
Box Logo Graphic Swimwear,Swimwear,Box Logo,Women,White Whisper,S,59.99,28,0.909
Iconic Shorts,Shorts,Iconic,Men,Black Beauty,XS,58.99,28,0.933
Rainforest Heritage Shorts,Shorts,Rainforest,Men,Bright White,XL,70.99,28,0.94
Patch Backpack,Accessories,Patch,Women,Green Lichen,One Size,34.99,28,0.89
Tribe Stretch T-Shirt,T-Shirt,Tribe,Women,Bright White,S,90.99,29,0.704
Box Logo Quilted Pants,Pants,Box Logo,Women,Olive,L,112.99,29,0.772
Morgex Stretch Shirt,Shirt,Morgex,Women,Petit Four,S,92.99,29,0.929
Box Logo Logo Sweatshirt,Sweatshirt,Box Logo,Women,Bright Red,M,134.99,29,0.877
Tribe Stripe Polo,Polo,Tribe,Men,Orange Tangerine,M,93.99,29,0.824
Rainforest Stretch Sweatshirt,Sweatshirt,Rainforest,Women,Forest Green,XS,130.99,29,0.95
Iconic Waist Bag,Accessories,Iconic,Men,Pale Mint,One Size,101.99,29,0.716
Circular Stretch T-Shirt,T-Shirt,Circular,Men,Snow White,XS,42.99,29,0.935
Rainforest Logo Sweatshirt,Sweatshirt,Rainforest,Men,Bright White,M,94.99,29,0.58
Geographic Logo T-Shirt,T-Shirt,Geographic,Women,Caviar,L,65.99,29,0.77
Morgex Stretch Shirt,Shirt,Morgex,Men,Olive,XXL,118.99,29,0.9
Box Logo Logo Polo,Polo,Box Logo,Men,Forest Green,XS,97.99,29,0.642
Iconic Pants,Pants,Iconic,Men,Forest Green,S,107.99,30,0.655
Patch Heritage Polo,Polo,Patch,Men,Khaki,XXL,95.99,30,0.858
Box Logo Print Swimwear,Swimwear,Box Logo,Women,Burgundy,XXL,47.99,30,0.677
Tribe Cap,Accessories,Tribe,Women,Caviar,One Size,51.99,30,0.781
Morgex Sweatshirt,Sweatshirt,Morgex,Women,Navy,XL,106.99,30,0.935
Circular Graphic Shirt,Shirt,Circular,Women,Free Blue,M,139.99,30,0.805
Geographic Stretch Polo,Polo,Geographic,Men,Yellow Sunshine,XS,83.99,30,0.928
Tribe Quilted Pants,Pants,Tribe,Women,Burgundy,XS,148.99,30,0.706
Iconic Logo Sweatshirt,Sweatshirt,Iconic,Men,Stone Grey,S,145.99,30,0.595
Tribe Half-Zip Shirt,Shirt,Tribe,Women,Bright Red,XXL,109.99,30,0.926
