Id,name,season,price,product_category,size,quantity,quantities_sold,collection_family,sex,color,discount,size_type,sell_through,predicted_tier,recommended_discount,discount_reason,revenue_eur,discounted_revenue_eur,sell_through_pct
P-00006,Iconic Pants,FS24,142.99,Pants,L,25,226,Iconic,Men,Snow White,20,alpha,0.9,fast_mover,0,Restock — no discount needed,32315.74,25852.592,90.0
M-00005,Box Logo Stripe Shirt,FS24,122.99,Shirt,M,105,364,Box Logo,Men,Bright Red,20,alpha,0.776,fast_mover,0,Restock — no discount needed,44768.36,35814.688,77.6
N-00002,Tribe Heritage Shorts,SS25,76.99,Shorts,M,52,17,Tribe,Men,Orange Tangerine,0,alpha,0.246,dead_stock,30,Clear before season end — 30% discount,1308.83,1308.83,24.6
P-00007,Geographic Pants,SS25,157.99,Pants,XL,290,153,Geographic,Men,Yellow Sunshine,0,alpha,0.345,average,20,Moderate push — 20% discount,24172.47,24172.47,34.5
WP-00005,Circular Stretch Pants,FS24,137.99,Pants,M,66,190,Circular,Women,Bright White,15,alpha,0.742,fast_mover,0,Restock — no discount needed,26218.100000000002,22285.385,74.2
M-00006,Morgex Print Shirt,FS24,86.99,Shirt,L,3,90,Morgex,Men,Snow White,30,alpha,0.968,fast_mover,0,Restock — no discount needed,7829.099999999999,5480.369999999999,96.8
M-00007,Box Logo Half-Zip Shirt,SS25,86.99,Shirt,S,163,33,Box Logo,Men,Black Beauty,0,alpha,0.168,dead_stock,30,Clear before season end — 30% discount,2870.6699999999996,2870.6699999999996,16.8
WL-00004,Tribe Sweatshirt,FS24,108.99,Sweatshirt,S,145,213,Tribe,Women,Yellow Sunshine,30,alpha,0.595,fast_mover,0,Restock — no discount needed,23214.87,16250.408999999998,59.5
WS-00006,Circular Quilted T-Shirt,SS25,71.99,T-Shirt,XS,259,29,Circular,Women,Caviar,0,alpha,0.101,dead_stock,50,Urgent clearance — 50% discount,2087.71,2087.71,10.1
N-00003,Iconic Stripe Shorts,SS25,83.99,Shorts,M,384,35,Iconic,Men,Bright Red,0,alpha,0.084,dead_stock,50,Urgent clearance — 50% discount,2939.6499999999996,2939.6499999999996,8.4
WP-00006,Circular Quilted Pants,SS25,135.99,Pants,L,304,206,Circular,Women,Orange Tangerine,0,alpha,0.404,dead_stock,30,Clear before season end — 30% discount,28013.940000000002,28013.940000000002,40.4
M-00008,Morgex Stretch Shirt,FS24,118.99,Shirt,XXL,29,262,Morgex,Men,Olive,20,alpha,0.9,fast_mover,0,Restock — no discount needed,31175.379999999997,24940.304000000004,90.0
S-00004,Tribe Stretch T-Shirt,FS24,88.99,T-Shirt,L,55,171,Tribe,Men,Yellow Sunshine,20,alpha,0.757,fast_mover,0,Restock — no discount needed,15217.289999999999,12173.831999999999,75.7
WM-00003,Morgex Shirt,FS24,108.99,Shirt,XL,42,245,Morgex,Women,Olive,25,alpha,0.854,fast_mover,0,Restock — no discount needed,26702.55,20026.9125,85.4
L-00004,Rainforest Graphic Sweatshirt,FS24,105.99,Sweatshirt,XS,75,191,Rainforest,Men,Burgundy,20,alpha,0.718,fast_mover,0,Restock — no discount needed,20244.09,16195.272,71.8
PS-00006,Patch Stretch Polo,FS24,99.99,Polo,XXL,62,338,Patch,Men,Orange Tangerine,20,alpha,0.845,fast_mover,0,Restock — no discount needed,33796.619999999995,27037.296000000002,84.5
WPS-00004,Iconic Polo,FS24,108.99,Polo,XL,85,151,Iconic,Women,Beige Sand,10,alpha,0.64,fast_mover,0,Restock — no discount needed,16457.489999999998,14811.741,64.0
L-00005,Morgex Stretch Sweatshirt,SS25,123.99,Sweatshirt,M,178,45,Morgex,Men,Blue Marine,0,alpha,0.202,average,20,Moderate push — 20% discount,5579.55,5579.55,20.2
WP-00007,Box Logo Pants,FS24,151.99,Pants,S,11,41,Box Logo,Women,White Whisper,25,alpha,0.788,fast_mover,0,Restock — no discount needed,6231.59,4673.6925,78.8
WL-00005,Geographic Sweatshirt,FS24,108.99,Sweatshirt,L,110,340,Geographic,Women,White Whisper,40,alpha,0.756,fast_mover,0,Restock — no discount needed,37056.6,22233.959999999995,75.6
L-00006,Geographic Print Sweatshirt,FS24,109.99,Sweatshirt,S,91,375,Geographic,Men,Bright White,10,alpha,0.805,fast_mover,0,Restock — no discount needed,41246.25,37121.625,80.5
WN-00002,Circular Graphic Shorts,FS24,76.99,Shorts,XL,20,81,Circular,Women,Yellow Sunshine,20,alpha,0.802,fast_mover,0,Restock — no discount needed,6236.19,4988.952,80.2
N-00004,Tribe Shorts,SS25,91.99,Shorts,M,166,34,Tribe,Men,Burgundy,0,alpha,0.17,dead_stock,30,Clear before season end — 30% discount,3127.66,3127.66,17.0
WL-00006,Circular Graphic Sweatshirt,FS24,130.99,Sweatshirt,S,212,292,Circular,Women,Yellow Sunshine,20,alpha,0.579,fast_mover,0,Restock — no discount needed,38249.08,30599.264000000003,57.9
WPS-00005,Tribe Quilted Polo,SS25,78.99,Polo,XL,95,97,Tribe,Women,Snow White,0,alpha,0.505,dead_stock,30,Clear before season end — 30% discount,7662.03,7662.03,50.5
WV-00002,Sun-Lover Stripe Swimwear,FS24,63.99,Swimwear,L,76,242,Sun-Lover,Women,Navy,20,alpha,0.761,fast_mover,0,Restock — no discount needed,15485.58,12388.464000000002,76.1
WL-00007,Box Logo Logo Sweatshirt,FS24,105.99,Sweatshirt,XS,2,59,Box Logo,Women,Snow White,25,alpha,0.967,fast_mover,0,Restock — no discount needed,6253.41,4690.0575,96.7
WP-00008,Box Logo Pants,FS24,124.99,Pants,L,89,397,Box Logo,Women,Grey Melange,20,alpha,0.817,fast_mover,0,Restock — no discount needed,49621.03,39696.824,81.7
WL-00008,Patch Stretch Sweatshirt,FS24,114.99,Sweatshirt,XS,73,388,Patch,Women,Snow White,20,alpha,0.842,fast_mover,0,Restock — no discount needed,44616.119999999995,35692.896,84.2
PS-00007,Box Logo Stretch Polo,SS25,80.99,Polo,M,73,85,Box Logo,Men,Yellow Sunshine,0,alpha,0.538,dead_stock,30,Clear before season end — 30% discount,6884.15,6884.15,53.8
WN-00003,Geographic Shorts,FS24,56.99,Shorts,L,43,242,Geographic,Women,Navy,40,alpha,0.849,fast_mover,0,Restock — no discount needed,13791.58,8274.948,84.9
WPS-00006,Circular Polo,SS25,93.99,Polo,XS,138,59,Circular,Women,Green Lichen,0,alpha,0.299,dead_stock,30,Clear before season end — 30% discount,5545.41,5545.41,29.9
P-00008,Morgex Print Pants,FS24,147.99,Pants,S,54,134,Morgex,Men,Snow White,50,alpha,0.713,fast_mover,0,Restock — no discount needed,19830.66,9915.33,71.3
WaistBagGeographic-0001,Geographic Waist Bag,FS24,72.99,Accessories,One Size,189,370,Geographic,Men,Green Lichen,30,alpha,0.662,fast_mover,0,Restock — no discount needed,27006.3,18904.41,66.2
S-00005,Rainforest Print T-Shirt,FS24,55.99,T-Shirt,M,174,422,Rainforest,Men,Bright White,25,alpha,0.708,fast_mover,0,Restock — no discount needed,23627.780000000002,17720.835,70.8
L-00007,Circular Sweatshirt,SS25,98.99,Sweatshirt,L,259,295,Circular,Men,Caviar,0,alpha,0.532,average,10,Light stimulus — 10% discount,29202.05,29202.05,53.2
WM-00004,Rainforest Quilted Shirt,FS24,136.99,Shirt,S,83,115,Rainforest,Women,Blue Marine,10,alpha,0.581,fast_mover,0,Restock — no discount needed,15753.85,14178.465000000002,58.1
WN-00004,Circular Print Shorts,SS25,92.99,Shorts,M,203,226,Circular,Women,Burgundy,0,alpha,0.527,dead_stock,30,Clear before season end — 30% discount,21015.739999999998,21015.739999999998,52.7
P-00009,Rainforest Logo Pants,SS25,97.99,Pants,XL,151,183,Rainforest,Men,Petit Four,0,alpha,0.548,average,10,Light stimulus — 10% discount,17932.17,17932.17,54.8
WN-00005,Iconic Graphic Shorts,SS25,59.99,Shorts,L,64,5,Iconic,Women,Burgundy,0,alpha,0.072,dead_stock,50,Urgent clearance — 50% discount,299.95,299.95,7.2
WN-00006,Patch Stripe Shorts,SS25,82.99,Shorts,S,194,30,Patch,Women,Snow White,0,alpha,0.134,dead_stock,50,Urgent clearance — 50% discount,2489.7,2489.7,13.4
S-00006,Tribe Quilted T-Shirt,SS25,63.99,T-Shirt,S,216,84,Tribe,Men,Orange Tangerine,0,alpha,0.28,dead_stock,30,Clear before season end — 30% discount,5375.16,5375.16,28.0
P-00010,Rainforest Stretch Pants,SS25,145.99,Pants,XS,218,128,Rainforest,Men,Navy,0,alpha,0.37,dead_stock,30,Clear before season end — 30% discount,18686.72,18686.72,37.0
WM-00005,Morgex Stripe Shirt,FS24,114.99,Shirt,XS,85,322,Morgex,Women,Beige Sand,30,alpha,0.791,fast_mover,0,Restock — no discount needed,37026.78,25918.746,79.1
WBeanieCircular-0001,Circular Beanie,SS25,91.99,Accessories,One Size,292,256,Circular,Women,Khaki,0,alpha,0.467,dead_stock,30,Clear before season end — 30% discount,23549.44,23549.44,46.7
\00002,Trail Graphic Shoes,FS24,168.99,Shoes,41,34,146,Trail,Men,Olive,15,numeric,0.811,fast_mover,0,Restock — no discount needed,24672.54,20971.659,81.1
\00003,Slate Shoes,SS25,135.99,Shoes,44,65,67,Slate,Men,Yellow Sunshine,0,numeric,0.508,average,10,Light stimulus — 10% discount,9111.33,9111.33,50.8
WM-00006,Tribe Graphic Shirt,FS24,105.99,Shirt,M,23,510,Tribe,Women,Bright White,25,alpha,0.957,fast_mover,0,Restock — no discount needed,54054.899999999994,40541.174999999996,95.7
PS-00008,Iconic Quilted Polo,SS25,78.99,Polo,S,208,238,Iconic,Men,Yellow Sunshine,0,alpha,0.534,dead_stock,30,Clear before season end — 30% discount,18799.62,18799.62,53.4
WV-00003,Wave Quilted Swimwear,FS24,67.99,Swimwear,L,63,245,Wave,Women,Black Beauty,25,alpha,0.795,fast_mover,0,Restock — no discount needed,16657.55,12493.162499999999,79.5
V-00002,Sun-Lover Half-Zip Swimwear,SS25,45.99,Swimwear,L,185,190,Sun-Lover,Men,Pale Mint,0,alpha,0.507,dead_stock,30,Clear before season end — 30% discount,8738.1,8738.1,50.7
WPS-00007,Rainforest Graphic Polo,FS24,66.99,Polo,XS,218,326,Rainforest,Women,Navy,10,alpha,0.599,fast_mover,0,Restock — no discount needed,21838.739999999998,19654.865999999998,59.9
PS-00009,Circular Print Polo,FS24,108.99,Polo,XXL,95,374,Circular,Men,Yellow Sunshine,25,alpha,0.797,fast_mover,0,Restock — no discount needed,40762.259999999995,30571.694999999996,79.7
N-00005,Iconic Stretch Shorts,FS24,51.99,Shorts,M,69,193,Iconic,Men,Orange Tangerine,40,alpha,0.737,fast_mover,0,Restock — no discount needed,10034.07,6020.442,73.7
WaistBagIconic-0001,Iconic Waist Bag,FS24,101.99,Accessories,One Size,29,73,Iconic,Men,Pale Mint,25,alpha,0.716,fast_mover,0,Restock — no discount needed,7445.2699999999995,5583.952499999999,71.6
WS-00007,Rainforest Half-Zip T-Shirt,SS25,74.99,T-Shirt,XXL,56,5,Rainforest,Women,Green Lichen,0,alpha,0.082,dead_stock,50,Urgent clearance — 50% discount,374.95,374.95,8.2
M-00010,Tribe Logo Shirt,SS25,111.99,Shirt,XL,212,164,Tribe,Men,Green Lichen,0,alpha,0.436,dead_stock,30,Clear before season end — 30% discount,18366.36,18366.36,43.6
N-00006,Morgex Shorts,SS25,65.99,Shorts,XL,94,58,Morgex,Men,Bright White,0,alpha,0.382,average,20,Moderate push — 20% discount,3827.4199999999996,3827.4199999999996,38.2
WS-00008,Tribe T-Shirt,FS24,37.99,T-Shirt,M,108,363,Tribe,Women,Bright Red,10,alpha,0.771,fast_mover,0,Restock — no discount needed,13790.37,12411.333,77.1
N-00007,Patch Logo Shorts,SS25,81.99,Shorts,L,49,35,Patch,Men,Stone Grey,0,alpha,0.417,dead_stock,30,Clear before season end — 30% discount,2869.6499999999996,2869.6499999999996,41.7
\00004,Slate Stripe Shoes,SS25,150.99,Shoes,40,289,187,Slate,Men,Yellow Sunshine,0,numeric,0.393,average,20,Moderate push — 20% discount,28235.13,28235.13,39.3
L-00008,Iconic Graphic Sweatshirt,FS24,110.99,Sweatshirt,XS,108,264,Iconic,Men,Green Lichen,25,alpha,0.71,fast_mover,0,Restock — no discount needed,29301.359999999997,21976.019999999997,71.0
WL-00009,Circular Logo Sweatshirt,SS25,164.99,Sweatshirt,XXL,348,132,Circular,Women,Blue Marine,0,alpha,0.275,dead_stock,30,Clear before season end — 30% discount,21778.68,21778.68,27.5
WPS-00008,Rainforest Stretch Polo,FS24,91.99,Polo,M,88,213,Rainforest,Women,Caviar,30,alpha,0.708,fast_mover,0,Restock — no discount needed,19593.87,13715.708999999997,70.8
S-00007,Iconic T-Shirt,SS25,61.99,T-Shirt,XS,229,192,Iconic,Men,Green Lichen,0,alpha,0.456,dead_stock,30,Clear before season end — 30% discount,11902.08,11902.08,45.6
L-00009,Patch Quilted Sweatshirt,SS25,139.99,Sweatshirt,L,244,229,Patch,Men,Pale Mint,0,alpha,0.484,dead_stock,30,Clear before season end — 30% discount,32057.710000000003,32057.710000000003,48.4
N-00008,Morgex Logo Shorts,SS25,81.99,Shorts,XL,123,75,Morgex,Men,Free Blue,0,alpha,0.379,average,20,Moderate push — 20% discount,6149.25,6149.25,37.9
WPS-00009,Patch Half-Zip Polo,FS24,99.99,Polo,L,13,53,Patch,Women,Blue Marine,25,alpha,0.803,fast_mover,0,Restock — no discount needed,5299.469999999999,3974.6024999999995,80.3
P-00011,Box Logo Stretch Pants,FS24,132.99,Pants,M,17,29,Box Logo,Men,Grey Melange,25,alpha,0.63,fast_mover,0,Restock — no discount needed,3856.71,2892.5325000000003,63.0
S-00008,Iconic Print T-Shirt,SS25,81.99,T-Shirt,XS,198,62,Iconic,Men,Bright White,0,alpha,0.238,dead_stock,30,Clear before season end — 30% discount,5083.38,5083.38,23.8
WL-00010,Morgex Sweatshirt,SS25,113.99,Sweatshirt,XS,55,35,Morgex,Women,Old Rose,0,alpha,0.389,dead_stock,30,Clear before season end — 30% discount,3989.6499999999996,3989.6499999999996,38.9
PS-00011,Rainforest Polo,FS24,102.99,Polo,L,17,30,Rainforest,Men,Stone Grey,10,alpha,0.638,fast_mover,0,Restock — no discount needed,3089.7,2780.73,63.8
ScarfMorgex-0001,Morgex Scarf,FS24,82.99,Accessories,One Size,87,132,Morgex,Men,Navy,10,alpha,0.603,fast_mover,0,Restock — no discount needed,10954.679999999998,9859.212,60.3
WL-00011,Patch Sweatshirt,FS24,149.99,Sweatshirt,XS,32,478,Patch,Women,Green Lichen,30,alpha,0.937,fast_mover,0,Restock — no discount needed,71695.22,50186.653999999995,93.7
\00005,Box Logo Stretch Shoes,FS24,91.99,Shoes,43,24,191,Box Logo,Men,Burgundy,20,numeric,0.888,fast_mover,0,Restock — no discount needed,17570.09,14056.072,88.8
P-00012,Patch Half-Zip Pants,FS24,144.99,Pants,S,103,347,Patch,Men,Green Lichen,30,alpha,0.771,fast_mover,0,Restock — no discount needed,50311.530000000006,35218.070999999996,77.1
WM-00007,Patch Quilted Shirt,FS24,149.99,Shirt,XS,35,121,Patch,Women,Forest Green,30,alpha,0.776,fast_mover,0,Restock — no discount needed,18148.79,12704.153,77.6
S-00009,Patch T-Shirt,SS25,40.99,T-Shirt,S,257,45,Patch,Men,Burgundy,0,alpha,0.149,dead_stock,50,Urgent clearance — 50% discount,1844.5500000000002,1844.5500000000002,14.9
P-00013,Iconic Quilted Pants,FS24,146.99,Pants,XL,32,338,Iconic,Men,Grey Melange,20,alpha,0.914,fast_mover,0,Restock — no discount needed,49682.62,39746.096000000005,91.4
WP-00009,Iconic Stretch Pants,FS24,96.99,Pants,M,234,325,Iconic,Women,Orange Tangerine,25,alpha,0.581,fast_mover,0,Restock — no discount needed,31521.75,23641.312499999996,58.1
WL-00012,Patch Half-Zip Sweatshirt,SS25,105.99,Sweatshirt,XXL,424,135,Patch,Women,Navy,0,alpha,0.242,dead_stock,30,Clear before season end — 30% discount,14308.65,14308.65,24.2
L-00010,Box Logo Print Sweatshirt,SS25,154.99,Sweatshirt,M,91,103,Box Logo,Men,Yellow Sunshine,0,alpha,0.531,average,10,Light stimulus — 10% discount,15963.970000000001,15963.970000000001,53.1
L-00011,Patch Heritage Sweatshirt,SS25,125.99,Sweatshirt,XS,336,153,Patch,Men,Green Lichen,0,alpha,0.313,dead_stock,30,Clear before season end — 30% discount,19276.469999999998,19276.469999999998,31.3
WP-00010,Morgex Quilted Pants,FS24,95.99,Pants,XXL,161,221,Morgex,Women,Caviar,30,alpha,0.579,fast_mover,0,Restock — no discount needed,21213.789999999997,14849.653,57.9
S-00010,Morgex Half-Zip T-Shirt,SS25,39.99,T-Shirt,M,90,94,Morgex,Men,Khaki,0,alpha,0.511,dead_stock,30,Clear before season end — 30% discount,3759.0600000000004,3759.0600000000004,51.1
PS-00012,Circular Stripe Polo,SS25,99.99,Polo,M,204,172,Circular,Men,Bright White,0,alpha,0.457,dead_stock,30,Clear before season end — 30% discount,17198.28,17198.28,45.7
P-00014,Iconic Graphic Pants,FS24,135.99,Pants,XS,11,213,Iconic,Men,Burgundy,20,alpha,0.951,fast_mover,0,Restock — no discount needed,28965.870000000003,23172.696000000004,95.1
M-00011,Tribe Graphic Shirt,SS25,93.99,Shirt,S,100,43,Tribe,Men,Forest Green,0,alpha,0.301,dead_stock,30,Clear before season end — 30% discount,4041.5699999999997,4041.5699999999997,30.1
L-00012,Box Logo Half-Zip Sweatshirt,FS24,110.99,Sweatshirt,XL,164,261,Box Logo,Men,Pale Mint,30,alpha,0.614,fast_mover,0,Restock — no discount needed,28968.39,20277.873,61.4
S-00011,Geographic Quilted T-Shirt,SS25,57.99,T-Shirt,L,132,151,Geographic,Men,Yellow Sunshine,0,alpha,0.534,average,10,Light stimulus — 10% discount,8756.49,8756.49,53.4
P-00015,Rainforest Logo Pants,SS25,149.99,Pants,M,254,162,Rainforest,Men,Forest Green,0,alpha,0.389,average,20,Moderate push — 20% discount,24298.38,24298.38,38.9
